game,hype,team1,team2,shortDate,gameInfo,possessions,eFG,perDrama,conference
4900,1,Villanova,Butler,"Wednesday, February 26, 2014",Villanova 67  Butler 48,56,0.406542056,0.0035,Big East
3457,1,Jackson St.,Grambling St.,"Saturday, January 25, 2014",Jackson St. 76  Grambling St. 59,67,0.557142857,0.0035,SWAC
5280,1,Sam Houston St.,New Orleans,"Saturday, March 8, 2014",Sam Houston St. 80  New Orleans 61,68,0.435897436,0.0035,Southland
2162,1,UAB,Alabama A&M,"Sunday, December 29, 2013",UAB 69  Alabama A&M 57,66,0.389312977,0.0035,Non-Conference
1726,1,Oregon St.,Maryland Eastern Shore,"Sunday, December 15, 2013",Oregon St. 98  Maryland Eastern Shore 66,78,0.492481203,0.0035,Non-Conference
2506,1,College of Charleston,Howard,"Saturday, January 4, 2014",College of Charleston 60  Howard 50,60,0.357142857,0.0035,Non-Conference
972,1,South Dakota St.,Howard,"Monday, November 25, 2013",South Dakota St. 77  Howard 65,68,0.370535714,0.0035,Non-Conference
1797,1,VCU,Wofford,"Tuesday, December 17, 2013",VCU 72  Wofford 57,67,0.435185185,0.0035,Non-Conference
605,1,Georgia St.,McNeese St.,"Monday, November 18, 2013",Georgia St. 96  McNeese St. 70,72,0.545801527,0.0035,Non-Conference
758,1,Florida,Middle Tennessee,"Thursday, November 21, 2013",Florida 79  Middle Tennessee 59,65,0.515463918,0.0035,Non-Conference
5409,1,Norfolk St.,Fairleigh Dickinson,"Monday, November 25, 2013",Norfolk St. 70  Fairleigh Dickinson 62,66,0.42920354,0.0035,Non-Conference
1660,1,Rutgers,UNC Greensboro,"Saturday, December 14, 2013",Rutgers 89  UNC Greensboro 72,75,0.532258065,0.0035,Non-Conference
3118,1,Villanova,DePaul,"Saturday, January 18, 2014",Villanova 88  DePaul 62,63,0.540909091,0.0035,Big East
1033,1,Boise St.,Idaho,"Wednesday, November 27, 2013",Boise St. 98  Idaho 89,72,0.555555556,0.0035,Non-Conference
977,1,Mississippi,North Carolina A&T,"Tuesday, November 26, 2013",Mississippi 84  North Carolina A&T 50,69,0.461538462,0.0035,Non-Conference
130,1,Akron,Coastal Carolina,"Friday, November 8, 2013",Akron 72  Coastal Carolina 63,73,0.461864407,0.0034,Non-Conference
2668,1,Tulsa,Tulane,"Thursday, January 9, 2014",Tulsa 97  Tulane 71,64,0.606481481,0.0034,Conference USA
1616,1,Saint Louis,Wofford,"Saturday, December 14, 2013",Saint Louis 66  Wofford 52,65,0.511235955,0.0034,Non-Conference
1007,1,Texas A&M,Arkansas Pine Bluff,"Tuesday, November 26, 2013",Texas A&M 88  Arkansas Pine Bluff 55,69,0.518348624,0.0034,Non-Conference
5533,1,Oregon St.,Arkansas Pine Bluff,"Friday, December 13, 2013",Oregon St. 77  Arkansas Pine Bluff 63,69,0.567010309,0.0034,Non-Conference
4577,1,Wichita St.,Loyola Chicago,"Wednesday, February 19, 2014",Wichita St. 88  Loyola Chicago 74,68,0.517241379,0.0034,Missouri Valley
81,1,Rhode Island,Maine,"Friday, November 8, 2013",Rhode Island 97  Maine 77,84,0.473282443,0.0034,Non-Conference
3833,1,Miami FL,Norfolk St.,"Saturday, February 1, 2014",Miami FL 64  Norfolk St. 49,56,0.424242424,0.0034,Non-Conference
1774,1,Louisiana Tech,McNeese St.,"Tuesday, December 17, 2013",Louisiana Tech 64  McNeese St. 50,69,0.403508772,0.0034,Non-Conference
5217,1,Texas,TCU,"Wednesday, March 5, 2014",Texas 66  TCU 54,66,0.352173913,0.0034,Big Twelve
5875,1,Baylor,TCU,"Wednesday, March 12, 2014",Baylor 76  TCU 68,62,0.554545455,0.0034,Big Twelve
1761,1,Florida St.,Charlotte,"Tuesday, December 17, 2013",Florida St. 106  Charlotte 62,77,0.511363636,0.0034,Non-Conference
1168,1,Colorado,Air Force,"Saturday, November 30, 2013",Colorado 81  Air Force 57,69,0.514423077,0.0034,Non-Conference
1428,1,Penn St.,Marshall,"Saturday, December 7, 2013",Penn St. 90  Marshall 77,77,0.5,0.0034,Non-Conference
5157,1,Louisiana Lafayette,South Alabama,"Sunday, March 2, 2014",Louisiana Lafayette 102  South Alabama 76,70,0.576271186,0.0034,Sun Belt
58,1,Notre Dame,Miami OH,"Friday, November 8, 2013",Notre Dame 74  Miami OH 62,62,0.55,0.0034,Non-Conference
83,1,Towson,Navy,"Friday, November 8, 2013",Towson 72  Navy 45,63,0.434210526,0.0033,Non-Conference
2564,1,Brown,New Hampshire,"Tuesday, January 7, 2014",Brown 72  New Hampshire 68,71,0.461206897,0.0033,Non-Conference
319,1,South Florida,Bethune Cookman,"Tuesday, November 12, 2013",South Florida 91  Bethune Cookman 65,77,0.437037037,0.0033,Non-Conference
