teamscorepos,dateloc,possessions,totalDrama,perDrama
220 Winthrop 62 248 High Point 60 [57],"Friday, March 7, 2014 12:00 pm ET HTC Center Conway, SC",57,6.4176,0.054851282
55 North Dakota St. 80 29 Oklahoma 75  (OT) [72],"Thursday, March 20, 2014 7:27 pm ET Veterans Memorial Arena Spokane, WA",72,7.9175,0.054603448
89 Ohio 95 67 Toledo 90  (OT) [78],"Saturday, February 1, 2014 1:00 pm ET Convocation Center Athens, OH",78,8.2897,0.0545375
22 Oregon 70 70 Utah 68  (OT) [76],"Thursday, January 2, 2014 8:00 pm ET Huntsman Center Salt Lake City, UT",76,8.3838,0.05444026
292 SIU Edwardsville 93 231 Southeast Missouri St. 88  (OT) [73],"Thursday, February 6, 2014 8:00 pm ET Vadalabene Center Edwardsville, IL",73,8.1106,0.054433557
65 Boise St. 62 121 Hawaii 61 [62],"Sunday, December 22, 2013 1:00 am ET Stan Sheriff Center Honolulu, HI",62,6.4756,0.054416807
141 DePaul 57 117 Northwestern 56 [72],"Friday, December 27, 2013 9:00 pm ET Welsh-Ryan Arena Evanston, IL",72,7.9401,0.054384247
219 UT Arlington 83 209 Louisiana Monroe 79  (OT) [71],"Thursday, January 9, 2014 1:00 pm ET College Park Center Arlington, TX",71,7.8804,0.054347586
220 Marist 96 260 Monmouth 92  (2OT) [79],"Sunday, February 16, 2014 2:00 pm ET Multipurpose Activity Center West Long Branch, NJ",79,8.9124,0.054343902
304 Tulane 61 288 Hofstra 58 [63],"Thursday, January 2, 2014 2:00 pm ET Devlin FIeldhouse New Orleans, LA",63,6.7256,0.05423871
196 Duquesne 83 63 St. Bonaventure 81 [64],"Saturday, January 25, 2014 7:00 pm ET A.J. Palumbo Center Pittsburgh, PA",64,6.8323,0.054224603
133 USC Upstate 64 160 Virginia Tech 63 [66],"Saturday, November 9, 2013 12:00 pm ET Cassell Coliseum Blacksburg, VA",66,7.097,0.054175573
226 Louisiana Monroe 103 95 Louisiana Lafayette 98  (2OT) [92],"Saturday, January 4, 2014 5:00 pm ET Fant-Ewing Coliseum Monroe, LA",92,9.7938,0.054109392
226 Northern Illinois 61 96 Eastern Michigan 59  (2OT) [73],"Thursday, February 20, 2014 7:00 pm ET Convocation Center DeKalb, IL",73,8.1113,0.054075333
219 Cal St. Northridge 80 299 Austin Peay 77  (OT) [76],"Friday, November 22, 2013 4:30 pm ET McGuirk Arena Mt. Pleasant, MI",76,8.1582,0.054027815
44 Arkansas 87 13 Kentucky 85  (OT) [79],"Tuesday, January 14, 2014 9:00 pm ET Bud Walton Arena Fayetteville, AR",79,8.1503,0.053975497
123 Columbia 70 155 Brown 68 [65],"Friday, February 21, 2014 7:00 pm ET Levien Gymnasium New York, NY",65,6.907,0.053960938
293 Central Michigan 68 327 Texas A&M Corpus Chris 64 [56],"Tuesday, November 26, 2013 8:00 pm ET American Bank Center Corpus Christi, TX",56,6.0288,0.053828571
72 Cleveland St. 72 135 Wright St. 68 [62],"Saturday, February 8, 2014 1:00 pm ET Nutter Center Dayton, OH",62,6.773,0.053753968
49 Dayton 55 13 Syracuse 53 [58],"Saturday, March 22, 2014 7:10 pm ET First Niagara Center Buffalo, NY",58,6.3965,0.053752101
156 Albany 73 302 UMBC 72  (2OT) [74],"Wednesday, January 8, 2014 7:00 pm ET SEFCU Arena Albany, NY",74,8.0313,0.053542
99 Mercer 78 165 USC Upstate 75  (2OT) [69],"Thursday, March 6, 2014 8:30 pm ET Hawkins Arena Macon, GA",69,7.3714,0.053415942
18 Connecticut 65 12 Florida 64 [64],"Monday, December 2, 2013 7:00 pm ET Gampel Pavilion Storrs, CT",64,6.8328,0.05338125
255 Idaho 86 330 Texas Pan American 85  (2OT) [79],"Thursday, January 9, 2014 8:00 pm ET UTPA Fieldhouse Edinburg, TX",79,8.3679,0.053298726
272 UNC Wilmington 57 195 College of Charleston 55  (2OT) [68],"Saturday, February 22, 2014 7:00 pm ET Raiford G. Trask Coliseum Wilmington, NC",68,7.4066,0.053284892
129 Georgia Tech 74 150 Boston College 71 [58],"Thursday, February 13, 2014 5:00 pm ET McCamish Pavilion Atlanta, GA",58,6.1801,0.053276724
287 Grand Canyon 72 313 Savannah St. 71 [64],"Friday, November 22, 2013 6:00 pm ET Huntsman Center Salt Lake City, UT",64,6.9785,0.053270992
208 UT Arlington 87 245 Troy 86  (2OT) [78],"Thursday, March 6, 2014 8:00 pm ET Trojan Arena Troy, AL",78,8.4132,0.053248101
305 UNC Greensboro 69 339 The Citadel 65  (OT) [75],"Thursday, January 16, 2014 7:00 pm ET Greensboro Coliseum Greensboro, NC",75,7.9711,0.053140667
126 Columbia 58 161 Valparaiso 56 [52],"Tuesday, March 18, 2014 8:05 pm ET Athletics Recreation Center Valparaiso, IN",52,5.6303,0.053116038
53 Clemson 69 113 Georgia Tech 65  (OT) [66],"Thursday, March 13, 2014 9:00 pm ET Greensboro Coliseum Greensboro, NC",66,6.7395,0.053066929
242 Cal St. Fullerton 74 64 UC Santa Barbara 72 [70],"Saturday, January 25, 2014 10:30 pm ET Titan Gym Fullerton, CA",70,7.0999,0.052984328
330 Prairie View A&M 70 346 Alcorn St. 67  (OT) [68],"Monday, January 6, 2014 8:30 pm ET William Nicks Center Prairie View, TX",68,7.1456,0.05293037
88 Delaware 108 139 Bryant 107  (OT) [81],"Saturday, December 21, 2013 9:30 pm ET Madison Square Garden New York, NY",81,8.5215,0.052928571
261 Texas St. 67 260 South Alabama 66  (OT) [71],"Thursday, February 20, 2014 8:00 pm ET Strahan Coliseum San Marcos, TX",71,7.6745,0.052927586
299 Rice 67 193 Santa Clara 66 [60],"Saturday, November 30, 2013 9:00 pm ET Leavey Center Santa Clara, CA",60,6.4037,0.05292314
105 Portland 114 47 BYU 110  (3OT) [97],"Thursday, January 23, 2014 10:00 pm ET Earle A. Chiles Center Portland, OR",97,10.1053,0.05290733
278 Central Michigan 101 312 Ball St. 95  (3OT) [90],"Wednesday, February 19, 2014 7:00 pm ET McGuirk Arena Mt. Pleasant, MI",90,9.6792,0.052891803
322 UMBC 71 223 Albany 69 [68],"Wednesday, February 12, 2014 7:00 pm ET Retriever Activities Center Baltimore, MD",68,7.191,0.052875
314 Campbell 97 229 VMI 93  (OT) [79],"Saturday, January 18, 2014 2:00 pm ET Pope Convocation Center Buies Creek, NC",79,8.3998,0.052828931
94 Mercer 62 145 USC Upstate 60  (OT) [64],"Saturday, January 4, 2014 4:30 pm ET Hawkins Arena Macon, GA",64,6.762,0.052828125
153 Washington 92 231 Long Beach St. 89  (2OT) [81],"Saturday, November 30, 2013 6:30 pm ET Alaska Airlines Arena Seattle, WA",81,8.0608,0.052684967
146 Northwestern 63 97 Purdue 60  (2OT) [72],"Tuesday, January 21, 2014 9:00 pm ET Welsh-Ryan Arena Evanston, IL",72,7.795,0.052668919
202 Kent St. 62 193 Bowling Green 61 [70],"Wednesday, February 12, 2014 7:00 pm ET Memorial A &amp; C Center Kent, OH",70,7.4258,0.052665248
